username,score,bio,friends_count,streaks,label
a8f7d3k9p2,70,crypto signals ✅ 99% win rate,9,0,1
free_followers_now,193,,6,0,1
crypto_king_9999,97,NFT investor | crypto tips,5,0,1
botanist_beth,1552,Yoga instructor | wellness coach 🧘,283,2407,0
nina_art,500,software engineer @ Google,378,863,0
acc29471838,296,Click link below 💰,8,0,1
a8f7d3k9p2,66,,2,0,1
airdrop_winner99,272,,11,0,1
dev_pete,2184,Developer | Open source enthusiast,919,228,0
user8374629,173,Real estate investor | DM for passive income secrets,3,0,1
creative_dan,991,mom of 3 | foodie 🍕,241,993,0
john_doe,500,Yoga instructor | wellness coach 🧘,851,417,0
creative_dan,500,Gaming streamer | Twitch partner 🎮,842,841,0
mike_2023,2181,Freelance illustrator | art prints available,51,160,0
the_real_sam,500,Blogger | Lifestyle & wellness,298,2062,0
journeys_with_kai,500,Medical student | future doctor 🩺,280,1939,0
user8374629,78,follow for follow back,9,0,1
airdrop_winner99,218,Get free followers — click bio link,6,0,1
real_human_01234,288,Get free followers — click bio link,0,0,1
alex_travel,500,Musician. Coffee addict. ☕,658,148,0
lisa_writes,1462,Traveler | 50+ countries visited ✈️,720,2049,0
nina_art,500,Yoga instructor | wellness coach 🧘,936,2025,0
zz_promo_zz,251,🔞 link in bio,4,0,1
99882736450,283,NFT investor | crypto tips,0,0,1
paul_runs,500,Fashion designer | PR welcome,911,2459,0
creative_dan,725,Freelance illustrator | art prints available,326,2393,0
get_rich_88,298,DM me to grow your account fast,12,0,1
journeys_with_kai,1217,Wildlife photographer based in Kenya,17,591,0
free_follower_bot,241,📈 passive income daily,9,0,1
tradebot_fx,126,Real estate investor | DM for passive income secrets,0,0,1
99882736450,168,🔞 link in bio,12,0,1
airdrop_winner99,131,DM me to grow your account fast,5,0,1
journeys_with_kai,744,Medical student | future doctor 🩺,937,1595,0
emma.j,500,Data scientist | ML researcher,587,1579,0
user8374629,68,🔞 link in bio,1,0,1
99882736450,118,NFT investor | crypto tips,2,0,1
free_followers_now,238,investment advisor DM me,9,0,1
fit_jessica,789,Traveler | 50+ countries visited ✈️,101,636,0
emma.j,1190,Yoga instructor | wellness coach 🧘,329,2277,0
everyday_elena,500,Gaming streamer | Twitch partner 🎮,875,776,0
real_human_01234,211,Click link below 💰,7,0,1
paul_runs,585,Environmental activist 🌱,862,1755,0
9182736450,156,earn $500/day 👇,13,0,1
airdrop_winner99,41,,11,0,1
airdrop_winner99,229,📈 passive income daily,5,0,1
lisa_writes,500,software engineer @ Google,265,556,0
xXx_profit_xXx,283,crypto signals ✅ 99% win rate,5,0,1
b.scott.official,885,Architect | sustainable design,360,218,0
zz_promo_zz,225,FREE BTC airdrop → link in bio,0,0,1
fit_jessica,500,Artist | Digital creator ✨,615,1950,0
lena_captures,500,Dog lover 🐾 | Hiking | Books,810,1210,0
journeys_with_kai,945,Podcaster | interviewing founders,678,1705,0
get_rich_88,83,♻️ repost to win $1000,6,0,1
9182736450,120,,6,0,1
journeys_with_kai,500,Fashion designer | PR welcome,959,925,0
9182736450,67,Get free followers — click bio link,6,0,1
surf_with_evan,500,Yoga instructor | wellness coach 🧘,719,827,0
bot_account_7,4,investment advisor DM me,0,0,1
acc29471838,124,♻️ repost to win $1000,4,0,1
free_followers_now,2,,4,0,1
real_human_01234,100,📈 passive income daily,7,0,1
tom_techie,500,Retired engineer | amateur astronomer 🔭,164,646,0
q7w8e9r0t1y2,143,btc eth airdrop free coins,8,0,1
journeys_with_kai,1833,Blogger | Lifestyle & wellness,927,646,0
acc29471838,235,📈 passive income daily,4,0,1
bot_account_7,119,,2,0,1
follow_back_101,298,follow for follow back,2,0,1
9182736450,32,FREE BTC airdrop → link in bio,4,0,1
free_follower_bot,90,📈 passive income daily,4,0,1
q7w8e9r0t1y2,255,♻️ repost to win $1000,10,0,1
john_doe,500,Dance teacher | choreographer,310,1141,0
tom_techie,500,Chef | Recipe creator 🍳,555,1480,0
tom_techie,2258,Freelance illustrator | art prints available,62,44,0
acc29471838,274,,2,0,1
1234567890ab,250,,1,0,1
tom_techie,1543,Teacher & lifelong learner 📚,461,33,0
everyday_elena,594,Dog lover 🐾 | Hiking | Books,747,606,0
xXx_profit_xXx,270,🔞 link in bio,0,0,1
creative_dan,500,Artist | Digital creator ✨,860,154,0
airdrop_winner99,179,earn $500/day 👇,2,0,1
zz_promo_zz,89,Get free followers — click bio link,7,0,1
bot_account_7,141,investment advisor DM me,1,0,1
amy_joy,500,Fashion designer | PR welcome,37,292,0
acc29471838,160,,6,0,1
tradebot_fx,265,earn $500/day 👇,2,0,1
journeys_with_kai,500,Yoga instructor | wellness coach 🧘,551,1042,0
chris_builds,1866,mom of 3 | foodie 🍕,548,1918,0
grace_beauty,990,High school teacher | making STEM fun,239,2181,0
everyday_elena,752,mom of 3 | foodie 🍕,708,555,0
amy_joy,500,News journalist @NYT,968,516,0
airdrop_winner99,267,DM me to grow your account fast,3,0,1
real_human_01234,276,,6,0,1
real_human_01234,75,btc eth airdrop free coins,2,0,1
xXx_profit_xXx,49,,13,0,1
user8374629,118,FREE BTC airdrop → link in bio,14,0,1
botanist_beth,614,Chef | Recipe creator 🍳,809,1475,0
user8374629,138,investment advisor DM me,0,0,1
1234567890ab,247,follow for follow back,3,0,1
emma.j,500,Podcaster | interviewing founders,674,695,0
code_master,500,Fashion designer | PR welcome,320,390,0
nft_dropper_69,263,Click link below 💰,2,0,1
free_followers_now,230,,2,0,1
airdrop_winner99,240,,2,0,1
tradebot_fx,159,investment advisor DM me,7,0,1
earn_fast_2024,142,📈 passive income daily,12,0,1
john_doe,500,Nurse practitioner | women's health advocate,661,1426,0
nina_art,500,UX designer @Meta,455,783,0
a8f7d3k9p2,122,promo available 📩,10,0,1
a8f7d3k9p2,95,📈 passive income daily,11,0,1
daniel_f,964,software engineer @ Google,738,705,0
chef_marco,515,Wildlife photographer based in Kenya,359,670,0
crypto_king_9999,247,btc eth airdrop free coins,1,0,1
a8f7d3k9p2,23,investment advisor DM me,11,0,1
9182736450,55,♻️ repost to win $1000,4,0,1
q7w8e9r0t1y2,241,,13,0,1
lena_captures,500,Yoga instructor | wellness coach 🧘,513,2344,0
xXx_profit_xXx,59,,13,0,1
nina_art,500,Environmental activist 🌱,830,2199,0
zz_promo_zz,37,NFT investor | crypto tips,6,0,1
paul_runs,5106,fitness coach 💪 DM for plans,682,549,0
free_followers_now,67,,8,0,1
everyday_elena,500,UX designer @Meta,105,1567,0
nina_art,500,Marketing professional | keynote speaker,710,2333,0
a8f7d3k9p2,30,NFT investor | crypto tips,7,0,1
bot_account_7,55,btc eth airdrop free coins,9,0,1
dev_pete,1417,mom of 3 | foodie 🍕,42,2419,0
zz_promo_zz,253,btc eth airdrop free coins,3,0,1
bot_account_7,37,,5,0,1
alex_travel,500,Dog lover 🐾 | Hiking | Books,483,1235,0
chris_builds,500,Gaming streamer | Twitch partner 🎮,615,2129,0
q7w8e9r0t1y2,174,earn $500/day 👇,13,0,1
99882736450,166,DM me to grow your account fast,0,0,1
1234567890ab,92,,4,0,1
paul_runs,3835,software engineer @ Google,418,1473,0
alex_travel,2151,Architect | sustainable design,89,222,0
free_followers_now,180,,14,0,1
tradebot_fx,150,📈 passive income daily,9,0,1
1234567890ab,85,follow for follow back,2,0,1
9182736450,231,,9,0,1
free_follower_bot,110,,12,0,1
get_rich_88,28,,11,0,1
get_rich_88,7,📈 passive income daily,3,0,1
mindful_maya,933,Dance teacher | choreographer,117,1798,0
get_rich_88,60,♻️ repost to win $1000,0,0,1
a8f7d3k9p2,252,FREE BTC airdrop → link in bio,5,0,1
the_real_sam,500,fitness coach 💪 DM for plans,998,493,0
surf_with_evan,500,mom of 3 | foodie 🍕,632,491,0
amy_joy,827,Freelance illustrator | art prints available,661,2017,0
chef_marco,2148,Traveler | 50+ countries visited ✈️,366,62,0
xXx_profit_xXx,171,♻️ repost to win $1000,2,0,1
dev_pete,500,UX designer @Meta,86,1806,0
crypto_king_9999,262,,13,0,1
follow_back_101,277,,2,0,1
journeys_with_kai,2063,Entrepreneur | Founder @startup,732,600,0
q7w8e9r0t1y2,285,📈 passive income daily,9,0,1
chris_builds,1114,News journalist @NYT,580,229,0
daniel_f,839,Chef | Recipe creator 🍳,516,38,0
tom_techie,5588,software engineer @ Google,763,717,0
xXx_profit_xXx,216,investment advisor DM me,14,0,1
everyday_elena,554,photographer | travel 📷,780,2048,0
surf_with_evan,1573,Wildlife photographer based in Kenya,210,1778,0
john_doe,878,Wildlife photographer based in Kenya,469,525,0
sarah_smith,500,Blogger | Lifestyle & wellness,68,658,0
tradebot_fx,50,,11,0,1
alex_travel,500,Entrepreneur | Founder @startup,902,2046,0
chef_marco,2900,Yoga instructor | wellness coach 🧘,217,1049,0
xXx_profit_xXx,79,,6,0,1
zz_promo_zz,183,promo available 📩,11,0,1
get_rich_88,141,,3,0,1
mindful_maya,500,Gaming streamer | Twitch partner 🎮,271,1666,0
earn_fast_2024,284,♻️ repost to win $1000,11,0,1
nft_dropper_69,51,follow for follow back,10,0,1
airdrop_winner99,174,earn $500/day 👇,9,0,1
earn_fast_2024,121,crypto signals ✅ 99% win rate,3,0,1
real_human_01234,28,🔞 link in bio,14,0,1
follow_back_101,73,FREE BTC airdrop → link in bio,12,0,1
q7w8e9r0t1y2,15,Real estate investor | DM for passive income secrets,6,0,1
mark_adventure,2464,Teacher & lifelong learner 📚,394,897,0
b.scott.official,500,Artist | Digital creator ✨,596,92,0
mike_2023,500,Yoga instructor | wellness coach 🧘,490,258,0
acc29471838,135,Get free followers — click bio link,14,0,1
nft_dropper_69,189,🔞 link in bio,6,0,1
1234567890ab,154,FREE BTC airdrop → link in bio,8,0,1
the_real_sam,1067,News journalist @NYT,347,592,0
airdrop_winner99,47,Real estate investor | DM for passive income secrets,7,0,1
john_doe,960,Yoga instructor | wellness coach 🧘,349,798,0
fit_jessica,500,Marketing professional | keynote speaker,642,2288,0
1234567890ab,147,FREE BTC airdrop → link in bio,8,0,1
crypto_king_9999,151,,3,0,1
paul_runs,825,Gaming streamer | Twitch partner 🎮,119,1488,0
real_human_01234,64,,5,0,1
creative_dan,2721,Data scientist | ML researcher,155,1142,0
acc29471838,46,investment advisor DM me,13,0,1
dev_pete,1429,photographer | travel 📷,527,778,0
chris_builds,3885,Teacher & lifelong learner 📚,732,630,0
lisa_writes,527,Chef | Recipe creator 🍳,563,1093,0
lisa_writes,3006,Artist | Digital creator ✨,463,48,0
botanist_beth,500,fitness coach 💪 DM for plans,609,1396,0
q7w8e9r0t1y2,290,,3,0,1
grace_beauty,919,Medical student | future doctor 🩺,551,2357,0
mindful_maya,500,News journalist @NYT,309,1012,0
photo_by_anna,1156,Yoga instructor | wellness coach 🧘,95,2486,0
mark_adventure,1227,Fashion designer | PR welcome,650,165,0
free_followers_now,21,Click link below 💰,5,0,1
amy_joy,500,Yoga instructor | wellness coach 🧘,816,1764,0
paul_runs,700,Gaming streamer | Twitch partner 🎮,854,1179,0
free_followers_now,73,,6,0,1
botanist_beth,500,Wildlife photographer based in Kenya,756,2475,0
zz_promo_zz,195,investment advisor DM me,8,0,1
alex_travel,891,Nurse practitioner | women's health advocate,913,2195,0
airdrop_winner99,76,earn $500/day 👇,1,0,1
nft_dropper_69,282,crypto signals ✅ 99% win rate,6,0,1
the_real_sam,3753,Podcaster | interviewing founders,400,263,0
botanist_beth,500,Dance teacher | choreographer,280,1220,0
grace_beauty,3590,News journalist @NYT,55,210,0
amy_joy,2089,Chef | Recipe creator 🍳,542,1195,0
chris_builds,500,mom of 3 | foodie 🍕,245,2473,0
sarah_smith,500,Traveler | 50+ countries visited ✈️,958,1719,0
photo_by_anna,745,Freelance illustrator | art prints available,745,635,0
grace_beauty,591,Artist | Digital creator ✨,767,1194,0
mike_2023,500,Podcaster | interviewing founders,643,1010,0
get_rich_88,34,,13,0,1
dev_pete,1640,News journalist @NYT,471,1014,0
1234567890ab,239,,6,0,1
bot_account_7,293,,14,0,1
grace_beauty,727,Chef | Recipe creator 🍳,191,955,0
amy_joy,925,Freelance illustrator | art prints available,961,375,0
chef_marco,3273,Yoga instructor | wellness coach 🧘,63,682,0
earn_fast_2024,292,📈 passive income daily,2,0,1
mark_adventure,1082,Data scientist | ML researcher,124,1194,0
lena_captures,500,fitness coach 💪 DM for plans,703,1314,0
alex_travel,1473,Gaming streamer | Twitch partner 🎮,438,1796,0
mindful_maya,817,Data scientist | ML researcher,277,342,0
surf_with_evan,525,Teacher & lifelong learner 📚,25,156,0
photo_by_anna,500,Entrepreneur | Founder @startup,705,1268,0
real_human_01234,179,,12,0,1
airdrop_winner99,73,,3,0,1
bot_account_7,222,crypto signals ✅ 99% win rate,6,0,1
9182736450,281,btc eth airdrop free coins,9,0,1
q7w8e9r0t1y2,266,DM me to grow your account fast,2,0,1
john_doe,1073,Artist | Digital creator ✨,54,116,0
9182736450,85,NFT investor | crypto tips,5,0,1
amy_joy,1004,UX designer @Meta,163,762,0
get_rich_88,56,,5,0,1
free_followers_now,30,DM me to grow your account fast,8,0,1
everyday_elena,2077,News journalist @NYT,88,1708,0
acc29471838,57,,4,0,1
user8374629,79,,7,0,1
creative_dan,500,Dance teacher | choreographer,285,977,0
sarah_smith,500,Fashion designer | PR welcome,966,186,0
earn_fast_2024,194,promo available 📩,4,0,1
free_follower_bot,37,📈 passive income daily,12,0,1
user8374629,203,Get free followers — click bio link,7,0,1
bot_account_7,3,📈 passive income daily,5,0,1
nft_dropper_69,57,NFT investor | crypto tips,14,0,1
lena_captures,500,High school teacher | making STEM fun,899,2157,0
earn_fast_2024,199,Get free followers — click bio link,10,0,1
emma.j,500,Nurse practitioner | women's health advocate,554,20,0
airdrop_winner99,64,,0,0,1
acc29471838,126,🔞 link in bio,12,0,1
follow_back_101,26,DM me to grow your account fast,5,0,1
chef_marco,921,Environmental activist 🌱,420,1800,0
everyday_elena,500,Artist | Digital creator ✨,144,832,0
user8374629,79,earn $500/day 👇,9,0,1
real_human_01234,124,follow for follow back,2,0,1
john_doe,871,High school teacher | making STEM fun,856,935,0
mindful_maya,1723,Dog lover 🐾 | Hiking | Books,713,88,0
creative_dan,1028,Blogger | Lifestyle & wellness,163,433,0
b.scott.official,501,fitness coach 💪 DM for plans,619,453,0
journeys_with_kai,500,Chef | Recipe creator 🍳,630,764,0
b.scott.official,500,Blogger | Lifestyle & wellness,212,1351,0
everyday_elena,500,Entrepreneur | Founder @startup,28,2484,0
free_followers_now,47,🔞 link in bio,8,0,1
mike_2023,500,Gaming streamer | Twitch partner 🎮,162,1502,0
surf_with_evan,500,Blogger | Lifestyle & wellness,506,526,0
q7w8e9r0t1y2,180,btc eth airdrop free coins,10,0,1
tom_techie,2138,News journalist @NYT,291,2108,0
zz_promo_zz,235,FREE BTC airdrop → link in bio,14,0,1
a8f7d3k9p2,268,crypto signals ✅ 99% win rate,12,0,1
creative_dan,500,Yoga instructor | wellness coach 🧘,602,1614,0
1234567890ab,58,NFT investor | crypto tips,11,0,1
surf_with_evan,500,Artist | Digital creator ✨,136,2416,0
fit_jessica,500,Musician. Coffee addict. ☕,438,81,0
tom_techie,871,Marketing professional | keynote speaker,743,2236,0
get_rich_88,161,,5,0,1
free_followers_now,61,investment advisor DM me,2,0,1
b.scott.official,2794,Gaming streamer | Twitch partner 🎮,933,492,0
mike_2023,2214,Medical student | future doctor 🩺,67,2177,0
q7w8e9r0t1y2,279,Click link below 💰,14,0,1
sarah_smith,500,Yoga instructor | wellness coach 🧘,86,535,0
chef_marco,10631,Freelance illustrator | art prints available,986,516,0
tradebot_fx,71,,7,0,1
mark_adventure,500,Freelance illustrator | art prints available,896,200,0
nina_art,2016,Marketing professional | keynote speaker,527,1072,0
q7w8e9r0t1y2,110,FREE BTC airdrop → link in bio,4,0,1
alex_travel,1116,Marketing professional | keynote speaker,847,44,0
creative_dan,500,Fashion designer | PR welcome,288,520,0
acc29471838,113,,12,0,1
paul_runs,500,Marketing professional | keynote speaker,648,195,0
real_human_01234,241,Real estate investor | DM for passive income secrets,10,0,1
dev_pete,1533,Freelance illustrator | art prints available,468,1176,0
99882736450,95,Click link below 💰,8,0,1
q7w8e9r0t1y2,6,FREE BTC airdrop → link in bio,9,0,1
q7w8e9r0t1y2,250,,14,0,1
user8374629,277,,8,0,1
get_rich_88,272,NFT investor | crypto tips,13,0,1
nft_dropper_69,92,,11,0,1
9182736450,28,investment advisor DM me,14,0,1
alex_travel,557,High school teacher | making STEM fun,117,1595,0
1234567890ab,21,,10,0,1
daniel_f,500,Nurse practitioner | women's health advocate,328,1660,0
nina_art,500,mom of 3 | foodie 🍕,47,157,0
mindful_maya,500,Wildlife photographer based in Kenya,257,1381,0
crypto_king_9999,141,,1,0,1
bot_account_7,254,FREE BTC airdrop → link in bio,4,0,1
everyday_elena,720,Freelance illustrator | art prints available,496,900,0
the_real_sam,500,News journalist @NYT,908,855,0
1234567890ab,67,Get free followers — click bio link,10,0,1
amy_joy,774,Architect | sustainable design,998,1050,0
chris_builds,500,Teacher & lifelong learner 📚,952,631,0
mindful_maya,799,Marketing professional | keynote speaker,327,1597,0
botanist_beth,836,photographer | travel 📷,34,474,0
b.scott.official,500,fitness coach 💪 DM for plans,869,438,0
mindful_maya,500,Medical student | future doctor 🩺,696,519,0
tradebot_fx,52,,3,0,1
chris_builds,500,Yoga instructor | wellness coach 🧘,707,2389,0
a8f7d3k9p2,276,,8,0,1
tom_techie,1495,Wildlife photographer based in Kenya,739,640,0
paul_runs,3888,Freelance illustrator | art prints available,22,2090,0
1234567890ab,97,promo available 📩,12,0,1
chris_builds,686,Medical student | future doctor 🩺,157,400,0
daniel_f,649,Environmental activist 🌱,436,1692,0
paul_runs,1119,Blogger | Lifestyle & wellness,857,364,0
mike_2023,500,Dog lover 🐾 | Hiking | Books,279,992,0
get_rich_88,288,crypto signals ✅ 99% win rate,4,0,1
follow_back_101,128,follow for follow back,4,0,1
surf_with_evan,500,Developer | Open source enthusiast,28,2126,0
zz_promo_zz,192,Real estate investor | DM for passive income secrets,0,0,1
emma.j,1844,Marketing professional | keynote speaker,169,1057,0
amy_joy,813,Developer | Open source enthusiast,721,1133,0
everyday_elena,1041,UX designer @Meta,615,693,0
mindful_maya,500,Freelance illustrator | art prints available,485,845,0
free_follower_bot,88,follow for follow back,5,0,1
99882736450,196,follow for follow back,4,0,1
alex_travel,500,fitness coach 💪 DM for plans,37,1900,0
paul_runs,1680,Developer | Open source enthusiast,190,990,0
99882736450,26,📈 passive income daily,6,0,1
chris_builds,500,fitness coach 💪 DM for plans,34,2144,0
journeys_with_kai,500,photographer | travel 📷,496,1474,0
fit_jessica,500,Yoga instructor | wellness coach 🧘,636,1697,0
a8f7d3k9p2,202,btc eth airdrop free coins,10,0,1
zz_promo_zz,150,follow for follow back,9,0,1
emma.j,500,mom of 3 | foodie 🍕,358,1205,0
tom_techie,832,Retired engineer | amateur astronomer 🔭,582,680,0
9182736450,296,,7,0,1
tom_techie,500,Gaming streamer | Twitch partner 🎮,434,2305,0
get_rich_88,156,,9,0,1
photo_by_anna,500,Dog lover 🐾 | Hiking | Books,20,1600,0
xXx_profit_xXx,53,Click link below 💰,12,0,1
a8f7d3k9p2,290,,7,0,1
tradebot_fx,61,DM me to grow your account fast,7,0,1
grace_beauty,558,Dance teacher | choreographer,556,2307,0
everyday_elena,711,Entrepreneur | Founder @startup,299,1980,0
mark_adventure,567,Wildlife photographer based in Kenya,306,1035,0
amy_joy,1191,Fashion designer | PR welcome,402,156,0
photo_by_anna,566,Freelance illustrator | art prints available,607,505,0
airdrop_winner99,213,,12,0,1
follow_back_101,140,follow for follow back,10,0,1
follow_back_101,241,Click link below 💰,10,0,1
crypto_king_9999,184,btc eth airdrop free coins,3,0,1
airdrop_winner99,129,🔞 link in bio,2,0,1
surf_with_evan,1552,Gaming streamer | Twitch partner 🎮,226,2348,0
bot_account_7,208,🔞 link in bio,12,0,1
mindful_maya,500,Traveler | 50+ countries visited ✈️,199,2111,0
9182736450,155,,4,0,1
creative_dan,500,Yoga instructor | wellness coach 🧘,531,1461,0
daniel_f,795,Architect | sustainable design,175,2494,0
q7w8e9r0t1y2,263,FREE BTC airdrop → link in bio,7,0,1
q7w8e9r0t1y2,133,NFT investor | crypto tips,12,0,1
everyday_elena,2121,Artist | Digital creator ✨,921,52,0
chef_marco,686,News journalist @NYT,775,822,0
nina_art,500,Environmental activist 🌱,26,1680,0
free_followers_now,267,investment advisor DM me,2,0,1
john_doe,742,News journalist @NYT,445,2304,0
9182736450,165,,1,0,1
botanist_beth,836,Gaming streamer | Twitch partner 🎮,507,152,0
mark_adventure,500,Medical student | future doctor 🩺,844,867,0
alex_travel,500,fitness coach 💪 DM for plans,697,404,0
real_human_01234,209,,1,0,1
1234567890ab,205,NFT investor | crypto tips,4,0,1
daniel_f,765,Environmental activist 🌱,388,521,0
code_master,560,Gaming streamer | Twitch partner 🎮,600,67,0
9182736450,257,Click link below 💰,14,0,1
user8374629,211,Get free followers — click bio link,10,0,1
b.scott.official,3511,Retired engineer | amateur astronomer 🔭,422,1155,0
xXx_profit_xXx,247,NFT investor | crypto tips,7,0,1
99882736450,89,Click link below 💰,1,0,1
free_followers_now,257,,2,0,1
real_human_01234,95,📈 passive income daily,6,0,1
user8374629,29,promo available 📩,12,0,1
acc29471838,59,FREE BTC airdrop → link in bio,13,0,1
dev_pete,500,Dance teacher | choreographer,238,2297,0
daniel_f,500,Data scientist | ML researcher,754,1099,0
everyday_elena,521,Wildlife photographer based in Kenya,703,1992,0
bot_account_7,52,Real estate investor | DM for passive income secrets,14,0,1
zz_promo_zz,35,FREE BTC airdrop → link in bio,7,0,1
a8f7d3k9p2,26,,11,0,1
crypto_king_9999,29,📈 passive income daily,12,0,1
1234567890ab,257,earn $500/day 👇,1,0,1
creative_dan,500,software engineer @ Google,144,1328,0
sarah_smith,500,Architect | sustainable design,312,1473,0
john_doe,7120,Marketing professional | keynote speaker,547,963,0
crypto_king_9999,46,🔞 link in bio,7,0,1
the_real_sam,500,Teacher & lifelong learner 📚,974,2465,0
paul_runs,500,Fashion designer | PR welcome,682,2282,0
mindful_maya,500,Dance teacher | choreographer,172,1122,0
q7w8e9r0t1y2,272,follow for follow back,6,0,1
user8374629,273,Click link below 💰,8,0,1
crypto_king_9999,278,Click link below 💰,3,0,1
nft_dropper_69,165,NFT investor | crypto tips,3,0,1
nft_dropper_69,230,DM me to grow your account fast,8,0,1
chris_builds,2288,Wildlife photographer based in Kenya,204,2094,0
tom_techie,500,Artist | Digital creator ✨,179,327,0
the_real_sam,885,Fashion designer | PR welcome,360,1006,0
get_rich_88,151,,8,0,1
sarah_smith,892,photographer | travel 📷,526,2295,0
bot_account_7,19,crypto signals ✅ 99% win rate,1,0,1
9182736450,77,Real estate investor | DM for passive income secrets,4,0,1
acc29471838,141,,3,0,1
nina_art,500,Architect | sustainable design,229,961,0
nft_dropper_69,297,investment advisor DM me,6,0,1
a8f7d3k9p2,228,earn $500/day 👇,5,0,1
nft_dropper_69,235,📈 passive income daily,1,0,1
free_follower_bot,285,📈 passive income daily,8,0,1
acc29471838,263,♻️ repost to win $1000,6,0,1
daniel_f,2685,fitness coach 💪 DM for plans,437,1739,0
user8374629,142,,8,0,1
crypto_king_9999,15,,1,0,1
surf_with_evan,500,Data scientist | ML researcher,355,916,0
1234567890ab,196,NFT investor | crypto tips,0,0,1
the_real_sam,500,Teacher & lifelong learner 📚,759,1969,0
user8374629,267,earn $500/day 👇,6,0,1
free_followers_now,93,FREE BTC airdrop → link in bio,6,0,1
q7w8e9r0t1y2,257,,3,0,1
john_doe,673,photographer | travel 📷,583,1280,0
dev_pete,816,Developer | Open source enthusiast,583,2488,0
1234567890ab,128,♻️ repost to win $1000,0,0,1
code_master,500,Gaming streamer | Twitch partner 🎮,701,699,0
the_real_sam,2812,Blogger | Lifestyle & wellness,271,1929,0
get_rich_88,144,📈 passive income daily,10,0,1
surf_with_evan,500,Freelance illustrator | art prints available,989,1336,0
zz_promo_zz,284,,5,0,1
9182736450,70,NFT investor | crypto tips,5,0,1
paul_runs,500,Gaming streamer | Twitch partner 🎮,851,2161,0
b.scott.official,500,Retired engineer | amateur astronomer 🔭,999,807,0
mike_2023,500,Blogger | Lifestyle & wellness,46,1933,0
everyday_elena,500,Architect | sustainable design,962,2194,0
botanist_beth,500,Data scientist | ML researcher,48,2234,0
9182736450,237,,7,0,1
mark_adventure,500,Environmental activist 🌱,649,1523,0
everyday_elena,500,UX designer @Meta,261,1578,0
user8374629,239,crypto signals ✅ 99% win rate,7,0,1
botanist_beth,4036,Dance teacher | choreographer,571,523,0
creative_dan,3484,Artist | Digital creator ✨,325,309,0
crypto_king_9999,116,promo available 📩,4,0,1
9182736450,298,,3,0,1
zz_promo_zz,128,btc eth airdrop free coins,1,0,1
lena_captures,1436,Chef | Recipe creator 🍳,912,1448,0
surf_with_evan,500,Architect | sustainable design,135,207,0
get_rich_88,254,promo available 📩,4,0,1
sarah_smith,500,Developer | Open source enthusiast,824,993,0
everyday_elena,500,Dance teacher | choreographer,623,1622,0
chef_marco,986,Developer | Open source enthusiast,917,2068,0
journeys_with_kai,1557,Blogger | Lifestyle & wellness,781,1881,0
a8f7d3k9p2,222,,1,0,1
free_followers_now,198,btc eth airdrop free coins,2,0,1
the_real_sam,500,Musician. Coffee addict. ☕,830,2246,0
mike_2023,500,UX designer @Meta,585,1498,0
free_followers_now,48,NFT investor | crypto tips,4,0,1
creative_dan,532,UX designer @Meta,905,451,0
free_follower_bot,151,,3,0,1
99882736450,267,Click link below 💰,1,0,1
john_doe,1159,Data scientist | ML researcher,775,960,0
earn_fast_2024,246,,14,0,1
mark_adventure,2591,Dance teacher | choreographer,330,1079,0
a8f7d3k9p2,7,📈 passive income daily,14,0,1
sarah_smith,500,Fashion designer | PR welcome,447,1529,0
mindful_maya,500,Blogger | Lifestyle & wellness,999,1131,0
lisa_writes,1140,Entrepreneur | Founder @startup,484,1508,0
b.scott.official,4304,photographer | travel 📷,485,1764,0
tom_techie,500,High school teacher | making STEM fun,486,990,0
the_real_sam,500,Traveler | 50+ countries visited ✈️,229,1051,0
john_doe,500,software engineer @ Google,608,1706,0
1234567890ab,75,earn $500/day 👇,13,0,1
99882736450,113,,11,0,1
user8374629,204,,6,0,1
lisa_writes,500,mom of 3 | foodie 🍕,245,1111,0
nina_art,1713,Fashion designer | PR welcome,685,2068,0
crypto_king_9999,242,promo available 📩,7,0,1
acc29471838,126,,7,0,1
sarah_smith,824,Musician. Coffee addict. ☕,193,582,0
paul_runs,3846,Gaming streamer | Twitch partner 🎮,736,2000,0
b.scott.official,500,Musician. Coffee addict. ☕,811,1085,0
chef_marco,2310,Architect | sustainable design,601,2292,0
tradebot_fx,140,Click link below 💰,7,0,1
lena_captures,500,Gaming streamer | Twitch partner 🎮,369,456,0
paul_runs,1476,Data scientist | ML researcher,220,26,0
botanist_beth,500,Traveler | 50+ countries visited ✈️,917,1997,0
grace_beauty,500,software engineer @ Google,591,870,0
lisa_writes,500,Teacher & lifelong learner 📚,87,2406,0
alex_travel,500,mom of 3 | foodie 🍕,802,1478,0
earn_fast_2024,249,promo available 📩,1,0,1
crypto_king_9999,123,,10,0,1
acc29471838,74,DM me to grow your account fast,5,0,1
mark_adventure,586,High school teacher | making STEM fun,890,2362,0
xXx_profit_xXx,59,,0,0,1
earn_fast_2024,291,♻️ repost to win $1000,11,0,1
nft_dropper_69,133,🔞 link in bio,0,0,1
surf_with_evan,500,Podcaster | interviewing founders,277,185,0
a8f7d3k9p2,292,follow for follow back,11,0,1
botanist_beth,500,Yoga instructor | wellness coach 🧘,468,2124,0
amy_joy,582,Marketing professional | keynote speaker,663,1399,0
nft_dropper_69,170,,5,0,1
