name,friends,followers,posts,bio,is_verified,has_profile_pic,label
Profit King,29,174,3,btc eth airdrop free coins,0,0,1
Kim Kardashian,0,80708596,1469,Iconic musician 🎸 | 40+ years on stage,1,1,0
Crypto Bob,4,30,2,📈 passive income daily,0,1,1
The Rock,0,99677577,3780,Official account. For business: manager@agency.com,1,1,0
User 8374,23,147,6,,0,1,1
User 8374,6,190,0,,0,0,1
Free Follower,7,65,7,,0,0,1
Yuki Tanaka,695,50,648,Dog lover 🐾 | Hiking | Books,0,1,0
Money Maker,25,144,6,DM me to grow your account fast,0,0,1
Money Maker,23,155,1,btc eth airdrop free coins,0,0,1
Lisa White,123,216,696,News journalist @NYT,0,1,0
David Clark,869,50,426,Nurse practitioner | women's health advocate,0,1,0
Mike Brown,907,50,222,Fashion designer | PR welcome,0,1,0
Mike Brown,1609,87,59,Dance teacher | choreographer,0,1,0
Investment Guru,21,20,4,🔞 link in bio,0,1,1
David Clark,1926,146,24,Marketing professional | keynote speaker,0,1,0
David Clark,1491,102,286,Musician. Coffee addict. ☕,0,1,0
The Rock,0,144427389,2141,Iconic musician 🎸 | 40+ years on stage,1,1,0
David Clark,1181,106,706,Chef | Recipe creator 🍳,0,1,0
Ahmed Hassan,1186,50,707,UX designer @Meta,0,1,0
Anna Lee,139,972,915,News journalist @NYT,0,1,0
Chris Martin,600,50,576,Environmental activist 🌱,0,1,0
Mike Brown,195,50,759,Blogger | Lifestyle & wellness,0,1,0
Yuki Tanaka,630,50,850,Nurse practitioner | women's health advocate,0,1,0
Account 293,19,184,1,Real estate investor | DM for passive income secrets,0,0,1
Free Follower,24,50,4,NFT investor | crypto tips,0,0,1
Priya Sharma,901,115,72,fitness coach 💪 DM for plans,0,1,0
Ahmed Hassan,122,50,885,Medical student | future doctor 🩺,0,1,0
Maria Garcia,645,137,577,Artist | Digital creator ✨,0,1,0
Emma Davis,1872,83,767,software engineer @ Google,0,1,0
Crypto Bob,10,112,5,follow for follow back,0,0,1
Earn Fast,17,165,6,🔞 link in bio,0,0,1
Investment Guru,12,95,5,FREE BTC airdrop → link in bio,0,0,1
David Clark,1357,83,857,Developer | Open source enthusiast,0,1,0
Chris Martin,269,50,298,fitness coach 💪 DM for plans,0,1,0
User 8374,3,62,5,,0,0,1
Free Follower,9,1,5,♻️ repost to win $1000,0,0,1
Sarah Jones,1049,264,693,Environmental activist 🌱,0,1,0
Ahmed Hassan,1658,99,885,Artist | Digital creator ✨,0,1,0
Sarah Jones,1840,50,410,Chef | Recipe creator 🍳,0,1,0
Priya Sharma,1029,50,693,Marketing professional | keynote speaker,0,1,0
Investment Guru,27,188,6,♻️ repost to win $1000,0,1,1
Emma Davis,769,309,602,Freelance illustrator | art prints available,0,1,0
Account 293,29,178,1,DM me to grow your account fast,0,0,1
Lisa White,1991,50,476,Wildlife photographer based in Kenya,1,1,0
Priya Sharma,620,50,645,Teacher & lifelong learner 📚,0,1,0
Chris Martin,1195,50,424,Nurse practitioner | women's health advocate,0,1,0
Click Here Now,26,180,0,,0,1,1
Maria Garcia,943,197,312,Chef | Recipe creator 🍳,0,1,0
Person 1928,3,25,6,,0,1,1
Mike Brown,150,50,351,Dog lover 🐾 | Hiking | Books,0,1,0
Crypto Bob,8,184,5,crypto signals ✅ 99% win rate,0,0,1
Mike Brown,560,212,61,Chef | Recipe creator 🍳,0,1,0
Emma Davis,624,50,536,Architect | sustainable design,0,1,0
Money Maker,10,119,1,♻️ repost to win $1000,0,0,1
Free Follower,22,129,3,crypto signals ✅ 99% win rate,0,1,1
Free Follower,13,190,0,,0,1,1
Account 293,7,91,7,promo available 📩,0,1,1
Taylor Swift,0,176372169,2122,Professional athlete | Team captain | Brand ambassador,1,1,0
Person 1928,5,21,0,btc eth airdrop free coins,0,1,1
Bot 9999,6,49,7,Get free followers — click bio link,0,1,1
Cristiano Ronaldo,0,51194287,4883,Grammy-winning artist 🎵 | New album out now,1,1,0
Yuki Tanaka,998,50,713,Chef | Recipe creator 🍳,0,1,0
Priya Sharma,825,50,719,Teacher & lifelong learner 📚,0,1,0
Click Here Now,27,30,4,Get free followers — click bio link,0,1,1
Free Follower,23,58,7,btc eth airdrop free coins,0,0,1
Real Human 001,9,188,1,,0,0,1
Maria Garcia,644,57,600,Artist | Digital creator ✨,0,1,0
Chris Martin,109,67,765,software engineer @ Google,0,1,0
Real Human 001,9,58,2,♻️ repost to win $1000,0,1,1
Investment Guru,21,183,7,Get free followers — click bio link,0,1,1
Profit King,25,179,3,FREE BTC airdrop → link in bio,0,0,1
Emma Davis,1948,50,257,Yoga instructor | wellness coach 🧘,0,1,0
Click Here Now,4,108,5,Get free followers — click bio link,0,0,1
John Smith,1789,98,957,UX designer @Meta,0,1,0
Ahmed Hassan,1678,50,85,Dance teacher | choreographer,0,1,0
Maria Garcia,774,50,978,Yoga instructor | wellness coach 🧘,0,1,0
Priya Sharma,295,82,677,UX designer @Meta,0,1,0
Yuki Tanaka,882,58,242,Entrepreneur | Founder @startup,0,1,0
Priya Sharma,291,61,480,Artist | Digital creator ✨,1,1,0
User 8374,4,57,6,,0,0,1
User 8374,11,137,3,📈 passive income daily,0,0,1
Account 293,3,66,5,DM me to grow your account fast,0,0,1
Cristiano Ronaldo,0,52457540,2972,Nobel Peace Prize laureate | Activist,1,1,0
David Clark,1906,67,369,software engineer @ Google,0,1,0
John Smith,710,71,602,Gaming streamer | Twitch partner 🎮,0,1,0
Real Human 001,20,13,6,investment advisor DM me,0,1,1
Click Here Now,1,176,3,,0,0,1
Chris Martin,944,50,717,Marketing professional | keynote speaker,0,1,0
Ahmed Hassan,1357,50,523,Marketing professional | keynote speaker,1,1,0
Real Human 001,12,130,5,Real estate investor | DM for passive income secrets,0,0,1
Cristiano Ronaldo,0,138957199,3487,Grammy-winning artist 🎵 | New album out now,1,1,0
Bot 9999,25,46,6,,0,1,1
Click Here Now,19,169,1,📈 passive income daily,0,1,1
Person 1928,3,115,4,♻️ repost to win $1000,0,1,1
Bot 9999,21,66,4,NFT investor | crypto tips,0,1,1
Emma Davis,618,50,551,Musician. Coffee addict. ☕,0,1,0
David Clark,1006,50,173,Teacher & lifelong learner 📚,0,1,0
User 8374,4,102,1,follow for follow back,0,1,1
Person 1928,15,78,4,,0,1,1
Person 1928,5,11,5,crypto signals ✅ 99% win rate,0,1,1
Ahmed Hassan,1133,50,82,High school teacher | making STEM fun,0,1,0
Cristiano Ronaldo,0,103393679,1247,Grammy-winning artist 🎵 | New album out now,1,1,0
Ahmed Hassan,242,375,700,Musician. Coffee addict. ☕,0,1,0
Free Follower,4,147,5,earn $500/day 👇,0,1,1
Kim Kardashian,0,83522008,601,Oscar-winning director | Production company: @StudioX,1,1,0
Money Maker,5,181,3,,0,0,1
Earn Fast,22,22,7,Click link below 💰,0,0,1
Money Maker,29,133,2,NFT investor | crypto tips,0,1,1
The Rock,0,144400003,715,Professional athlete | Team captain | Brand ambassador,1,1,0
Crypto Bob,2,106,4,investment advisor DM me,0,0,1
Maria Garcia,906,50,196,Dog lover 🐾 | Hiking | Books,0,1,0
User 8374,28,150,2,Get free followers — click bio link,0,0,1
Yuki Tanaka,570,97,647,Marketing professional | keynote speaker,0,1,0
Lisa White,1870,192,230,Musician. Coffee addict. ☕,1,1,0
Mike Brown,273,54,301,Fashion designer | PR welcome,0,1,0
Earn Fast,3,39,5,investment advisor DM me,0,0,1
Investment Guru,24,103,5,btc eth airdrop free coins,0,0,1
Ahmed Hassan,1827,68,773,News journalist @NYT,0,1,0
Bot 9999,14,22,0,Real estate investor | DM for passive income secrets,0,0,1
Ariana Grande,0,77037661,1909,CEO @Fortune500 | Author | Speaker,1,1,0
Free Follower,7,52,7,📈 passive income daily,0,1,1
Free Follower,9,193,7,,0,0,1
User 8374,12,112,5,Click link below 💰,0,1,1
Person 1928,14,77,3,earn $500/day 👇,0,0,1
Lisa White,1982,50,265,software engineer @ Google,1,1,0
Account 293,17,111,1,FREE BTC airdrop → link in bio,0,0,1
Sarah Jones,162,58,36,Blogger | Lifestyle & wellness,0,1,0
Person 1928,11,166,7,btc eth airdrop free coins,0,0,1
Earn Fast,11,12,6,📈 passive income daily,0,0,1
Real Human 001,14,154,2,♻️ repost to win $1000,0,0,1
Profit King,28,31,2,Get free followers — click bio link,0,0,1
Free Follower,29,185,6,earn $500/day 👇,0,0,1
User 8374,17,113,7,follow for follow back,0,1,1
Anna Lee,1710,50,917,Podcaster | interviewing founders,0,1,0
Ahmed Hassan,1165,57,645,High school teacher | making STEM fun,0,1,0
Mike Brown,1786,50,506,Medical student | future doctor 🩺,0,1,0
Bot 9999,5,176,3,,0,0,1
Crypto Bob,21,17,4,,0,0,1
John Smith,310,76,257,photographer | travel 📷,0,1,0
Chris Martin,706,50,45,Blogger | Lifestyle & wellness,0,1,0
Earn Fast,21,7,4,,0,0,1
Anna Lee,1939,50,792,Yoga instructor | wellness coach 🧘,0,1,0
Free Follower,14,136,5,promo available 📩,0,0,1
Click Here Now,2,91,6,crypto signals ✅ 99% win rate,0,0,1
Money Maker,12,64,6,,0,0,1
Kim Kardashian,0,111525861,2639,World #1 tennis player 🎾 | Foundation: @AidFundation,1,1,0
Bot 9999,11,159,4,,0,0,1
Person 1928,4,77,1,,0,0,1
Yuki Tanaka,1352,50,368,Developer | Open source enthusiast,0,1,0
Anna Lee,138,230,740,Marketing professional | keynote speaker,0,1,0
Sarah Jones,364,50,775,Chef | Recipe creator 🍳,0,1,0
David Clark,1919,50,577,Medical student | future doctor 🩺,0,1,0
Yuki Tanaka,723,194,656,Teacher & lifelong learner 📚,0,1,0
Crypto Bob,25,118,4,,0,0,1
Money Maker,9,193,6,Get free followers — click bio link,0,0,1
Profit King,23,84,2,Click link below 💰,0,0,1
Person 1928,1,46,0,btc eth airdrop free coins,0,0,1
Earn Fast,26,22,7,♻️ repost to win $1000,0,1,1
Priya Sharma,178,435,64,Traveler | 50+ countries visited ✈️,0,1,0
Click Here Now,24,126,5,FREE BTC airdrop → link in bio,0,1,1
Real Human 001,14,180,6,promo available 📩,0,1,1
Sarah Jones,945,50,832,News journalist @NYT,0,1,0
David Clark,730,67,455,Medical student | future doctor 🩺,0,1,0
Click Here Now,12,108,3,Real estate investor | DM for passive income secrets,0,0,1
Earn Fast,5,105,6,,0,1,1
Free Follower,26,178,7,,0,0,1
Click Here Now,3,194,7,DM me to grow your account fast,0,0,1
User 8374,15,156,1,FREE BTC airdrop → link in bio,0,0,1
Sarah Jones,1018,50,986,Fashion designer | PR welcome,0,1,0
David Clark,50,50,610,Dog lover 🐾 | Hiking | Books,0,1,0
User 8374,6,20,3,NFT investor | crypto tips,0,0,1
Earn Fast,6,85,2,promo available 📩,0,0,1
Lisa White,1583,200,116,UX designer @Meta,0,1,0
John Smith,1342,50,998,photographer | travel 📷,0,1,0
Earn Fast,29,58,3,,0,1,1
Real Human 001,7,168,2,NFT investor | crypto tips,0,0,1
Profit King,27,190,7,FREE BTC airdrop → link in bio,0,1,1
Real Human 001,15,44,5,♻️ repost to win $1000,0,0,1
Emma Davis,932,82,382,Dance teacher | choreographer,0,1,0
Person 1928,27,54,5,,0,0,1
Chris Martin,122,151,483,Retired engineer | amateur astronomer 🔭,0,1,0
Click Here Now,20,32,1,,0,1,1
Ahmed Hassan,899,50,800,Wildlife photographer based in Kenya,0,1,0
Account 293,24,46,4,♻️ repost to win $1000,0,1,1
Yuki Tanaka,1460,89,170,Musician. Coffee addict. ☕,0,1,0
Emma Davis,1330,111,444,Nurse practitioner | women's health advocate,0,1,0
Money Maker,3,62,4,Real estate investor | DM for passive income secrets,0,1,1
Earn Fast,6,112,5,,0,0,1
Priya Sharma,1082,229,454,Dog lover 🐾 | Hiking | Books,0,1,0
Profit King,1,46,1,promo available 📩,0,1,1
Person 1928,16,3,0,Get free followers — click bio link,0,1,1
Taylor Swift,0,25658442,3466,Nobel Peace Prize laureate | Activist,1,1,0
Anna Lee,124,50,705,Environmental activist 🌱,0,1,0
Earn Fast,6,39,6,🔞 link in bio,0,1,1
Account 293,29,77,0,📈 passive income daily,0,1,1
Bot 9999,14,189,4,,0,1,1
Emma Davis,814,188,184,photographer | travel 📷,0,1,0
Lisa White,313,50,512,Artist | Digital creator ✨,0,1,0
Earn Fast,27,39,0,DM me to grow your account fast,0,1,1
User 8374,15,175,5,earn $500/day 👇,0,0,1
Click Here Now,8,86,5,,0,0,1
Real Human 001,10,14,0,,0,1,1
Investment Guru,8,130,0,NFT investor | crypto tips,0,1,1
Account 293,4,132,3,investment advisor DM me,0,1,1
Real Human 001,25,185,5,,0,0,1
Ariana Grande,0,94148410,3667,Hollywood actor | Upcoming: Summer Blockbuster 2025,1,1,0
User 8374,8,17,5,DM me to grow your account fast,0,0,1
Bot 9999,14,27,5,NFT investor | crypto tips,0,0,1
John Smith,623,50,728,UX designer @Meta,0,1,0
Yuki Tanaka,124,50,317,Entrepreneur | Founder @startup,0,1,0
The Rock,0,118699594,3056,World #1 tennis player 🎾 | Foundation: @AidFundation,1,1,0
Maria Garcia,913,270,992,Teacher & lifelong learner 📚,0,1,0
Person 1928,14,187,0,,0,1,1
Anna Lee,395,317,691,software engineer @ Google,0,1,0
Crypto Bob,2,38,3,,0,0,1
Earn Fast,3,131,4,♻️ repost to win $1000,0,0,1
Cristiano Ronaldo,0,118811993,3624,Official account. For business: manager@agency.com,1,1,0
Real Human 001,23,37,4,,0,0,1
Sarah Jones,253,80,914,Entrepreneur | Founder @startup,0,1,0
Kim Kardashian,0,68614271,4394,Nobel Peace Prize laureate | Activist,1,1,0
John Smith,1574,72,326,Musician. Coffee addict. ☕,0,1,0
Click Here Now,23,38,2,btc eth airdrop free coins,0,0,1
Sarah Jones,1037,50,443,Retired engineer | amateur astronomer 🔭,0,1,0
Lisa White,884,50,642,Data scientist | ML researcher,0,1,0
Ahmed Hassan,1457,90,170,Developer | Open source enthusiast,0,1,0
Anna Lee,1958,125,56,Podcaster | interviewing founders,0,1,0
Free Follower,7,86,7,,0,1,1
John Smith,605,197,608,Yoga instructor | wellness coach 🧘,0,1,0
Emma Davis,376,50,769,Musician. Coffee addict. ☕,0,1,0
Real Human 001,16,179,4,📈 passive income daily,0,1,1
Free Follower,10,55,7,📈 passive income daily,0,1,1
Account 293,16,127,0,,0,1,1
Ahmed Hassan,170,174,368,mom of 3 | foodie 🍕,0,1,0
Click Here Now,12,178,4,FREE BTC airdrop → link in bio,0,0,1
Money Maker,10,75,3,investment advisor DM me,0,1,1
Account 293,1,141,3,🔞 link in bio,0,1,1
Click Here Now,1,131,5,📈 passive income daily,0,0,1
Person 1928,25,109,5,btc eth airdrop free coins,0,0,1
Investment Guru,6,167,4,FREE BTC airdrop → link in bio,0,0,1
Real Human 001,2,53,7,Real estate investor | DM for passive income secrets,0,1,1
John Smith,1980,248,811,Data scientist | ML researcher,0,1,0
Priya Sharma,671,50,693,Nurse practitioner | women's health advocate,0,1,0
Anna Lee,1411,80,709,Wildlife photographer based in Kenya,0,1,0
Click Here Now,12,112,5,🔞 link in bio,0,1,1
Bot 9999,16,192,7,FREE BTC airdrop → link in bio,0,0,1
Account 293,18,58,4,FREE BTC airdrop → link in bio,0,0,1
Kim Kardashian,0,186520232,604,International supermodel | Agency: IMG Models,1,1,0
Person 1928,18,77,6,promo available 📩,0,1,1
Priya Sharma,470,50,181,Musician. Coffee addict. ☕,0,1,0
The Rock,0,180357808,3195,Professional athlete | Team captain | Brand ambassador,1,1,0
User 8374,24,131,0,📈 passive income daily,0,0,1
Click Here Now,15,188,1,Click link below 💰,0,0,1
Anna Lee,1637,50,332,Blogger | Lifestyle & wellness,1,1,0
Person 1928,8,65,6,earn $500/day 👇,0,0,1
Ariana Grande,0,12848811,1568,Professional athlete | Team captain | Brand ambassador,1,1,0
User 8374,29,146,7,promo available 📩,0,0,1
Priya Sharma,959,83,764,Podcaster | interviewing founders,0,1,0
Maria Garcia,272,50,766,photographer | travel 📷,0,1,0
Chris Martin,458,50,413,software engineer @ Google,0,1,0
Ariana Grande,0,70692961,4420,Hollywood actor | Upcoming: Summer Blockbuster 2025,1,1,0
Priya Sharma,332,63,712,software engineer @ Google,0,1,0
Money Maker,13,138,7,crypto signals ✅ 99% win rate,0,1,1
Ahmed Hassan,776,50,696,mom of 3 | foodie 🍕,0,1,0
Ariana Grande,0,125578178,4588,Nobel Peace Prize laureate | Activist,1,1,0
Ahmed Hassan,515,80,751,Environmental activist 🌱,0,1,0
Ahmed Hassan,418,54,328,High school teacher | making STEM fun,0,1,0
User 8374,13,20,5,,0,1,1
The Rock,0,117330147,674,International supermodel | Agency: IMG Models,1,1,0
Yuki Tanaka,1861,64,119,News journalist @NYT,0,1,0
Bot 9999,12,50,4,NFT investor | crypto tips,0,0,1
Yuki Tanaka,1618,50,407,Blogger | Lifestyle & wellness,0,1,0
Real Human 001,1,168,0,investment advisor DM me,0,0,1
Anna Lee,1924,187,452,photographer | travel 📷,0,1,0
Money Maker,13,18,3,Real estate investor | DM for passive income secrets,0,0,1
User 8374,17,34,2,NFT investor | crypto tips,0,0,1
Yuki Tanaka,1409,96,140,News journalist @NYT,0,1,0
Selena Gomez,0,151383218,2662,Fashion icon | Creative Director @LuxuryBrand,1,1,0
Lisa White,436,177,444,Yoga instructor | wellness coach 🧘,0,1,0
Lisa White,1670,216,704,Marketing professional | keynote speaker,0,1,0
Mike Brown,1471,72,870,Traveler | 50+ countries visited ✈️,0,1,0
Emma Davis,132,50,736,photographer | travel 📷,0,1,0
John Smith,1298,282,369,Dance teacher | choreographer,0,1,0
Priya Sharma,499,50,715,Marketing professional | keynote speaker,0,1,0
Yuki Tanaka,1401,237,514,fitness coach 💪 DM for plans,0,1,0
Account 293,3,92,5,DM me to grow your account fast,0,0,1
Priya Sharma,917,50,593,Wildlife photographer based in Kenya,0,1,0
Bot 9999,8,123,2,DM me to grow your account fast,0,1,1
Person 1928,27,163,2,,0,0,1
Emma Davis,1765,50,895,Freelance illustrator | art prints available,0,1,0
David Clark,1078,69,588,photographer | travel 📷,0,1,0
Selena Gomez,0,70679544,3747,World #1 tennis player 🎾 | Foundation: @AidFundation,1,1,0
Profit King,28,130,7,btc eth airdrop free coins,0,1,1
Maria Garcia,1703,460,988,photographer | travel 📷,0,1,0
Taylor Swift,0,63337938,3790,Fashion icon | Creative Director @LuxuryBrand,1,1,0
Kim Kardashian,0,184600224,4930,Grammy-winning artist 🎵 | New album out now,1,1,0
Anna Lee,615,545,492,mom of 3 | foodie 🍕,0,1,0
Ariana Grande,0,167050160,2743,International supermodel | Agency: IMG Models,1,1,0
Maria Garcia,161,50,294,Dog lover 🐾 | Hiking | Books,0,1,0
Money Maker,3,100,5,crypto signals ✅ 99% win rate,0,0,1
Crypto Bob,4,38,1,btc eth airdrop free coins,0,0,1
Person 1928,1,174,2,earn $500/day 👇,0,0,1
Click Here Now,7,77,0,DM me to grow your account fast,0,1,1
Bot 9999,15,94,0,Get free followers — click bio link,0,0,1
Yuki Tanaka,696,93,891,Developer | Open source enthusiast,0,1,0
Investment Guru,4,70,5,promo available 📩,0,1,1
Ariana Grande,0,97703213,2292,Grammy-winning artist 🎵 | New album out now,1,1,0
Bot 9999,12,62,6,NFT investor | crypto tips,0,1,1
Earn Fast,0,16,4,🔞 link in bio,0,1,1
Lisa White,558,50,398,Data scientist | ML researcher,0,1,0
Profit King,27,42,0,,0,0,1
Free Follower,10,171,5,promo available 📩,0,1,1
Chris Martin,1235,70,901,Architect | sustainable design,0,1,0
Ahmed Hassan,1080,50,85,Podcaster | interviewing founders,0,1,0
Money Maker,22,175,0,Real estate investor | DM for passive income secrets,0,1,1
Money Maker,24,63,7,,0,1,1
Free Follower,8,49,6,,0,1,1
Money Maker,18,151,7,Real estate investor | DM for passive income secrets,0,0,1
Bot 9999,24,145,2,,0,0,1
Maria Garcia,1428,50,232,mom of 3 | foodie 🍕,0,1,0
Real Human 001,15,163,7,,0,0,1
David Clark,825,125,627,Developer | Open source enthusiast,0,1,0
Investment Guru,25,49,5,📈 passive income daily,0,1,1
Crypto Bob,0,148,5,DM me to grow your account fast,0,0,1
Profit King,18,163,1,,0,1,1
David Clark,1918,50,94,High school teacher | making STEM fun,0,1,0
Mike Brown,173,120,996,Fashion designer | PR welcome,0,1,0
Person 1928,14,69,0,follow for follow back,0,1,1
Account 293,6,20,2,FREE BTC airdrop → link in bio,0,1,1
David Clark,951,63,725,mom of 3 | foodie 🍕,0,1,0
Priya Sharma,965,206,46,Architect | sustainable design,0,1,0
Lisa White,1642,50,366,Musician. Coffee addict. ☕,0,1,0
Mike Brown,90,108,739,High school teacher | making STEM fun,0,1,0
Yuki Tanaka,230,50,41,Musician. Coffee addict. ☕,0,1,0
Anna Lee,1443,50,798,Blogger | Lifestyle & wellness,0,1,0
Cristiano Ronaldo,0,115136542,4552,Professional athlete | Team captain | Brand ambassador,1,1,0
Click Here Now,3,4,5,,0,1,1
John Smith,1744,86,589,Architect | sustainable design,0,1,0
Lisa White,834,65,161,Wildlife photographer based in Kenya,0,1,0
Money Maker,19,146,7,♻️ repost to win $1000,0,0,1
Maria Garcia,1945,83,429,UX designer @Meta,0,1,0
User 8374,19,21,3,🔞 link in bio,0,0,1
Click Here Now,14,101,7,,0,1,1
Emma Davis,460,50,241,Fashion designer | PR welcome,0,1,0
Profit King,2,134,3,FREE BTC airdrop → link in bio,0,0,1
Mike Brown,802,127,878,Data scientist | ML researcher,0,1,0
Priya Sharma,128,142,718,News journalist @NYT,0,1,0
Emma Davis,1352,103,132,Entrepreneur | Founder @startup,0,1,0
Real Human 001,8,147,7,🔞 link in bio,0,1,1
Investment Guru,16,4,2,follow for follow back,0,0,1
Anna Lee,1256,50,244,Podcaster | interviewing founders,0,1,0
David Clark,1424,50,287,Dance teacher | choreographer,0,1,0
Person 1928,6,26,5,promo available 📩,0,0,1
Ariana Grande,0,162320366,3354,Grammy-winning artist 🎵 | New album out now,1,1,0
Kim Kardashian,0,93657218,3282,Nobel Peace Prize laureate | Activist,1,1,0
Free Follower,25,37,0,,0,0,1
John Smith,319,50,594,Marketing professional | keynote speaker,0,1,0
Sarah Jones,1239,50,124,Marketing professional | keynote speaker,0,1,0
Investment Guru,0,146,6,promo available 📩,0,1,1
Yuki Tanaka,1939,54,409,Marketing professional | keynote speaker,0,1,0
Sarah Jones,1832,146,843,Environmental activist 🌱,0,1,0
Person 1928,9,92,4,Real estate investor | DM for passive income secrets,0,0,1
Ahmed Hassan,73,50,371,Retired engineer | amateur astronomer 🔭,0,1,0
Bot 9999,17,83,7,FREE BTC airdrop → link in bio,0,0,1
Cristiano Ronaldo,0,194252353,3553,Nobel Peace Prize laureate | Activist,1,1,0
Click Here Now,24,60,1,btc eth airdrop free coins,0,1,1
Account 293,28,78,2,follow for follow back,0,0,1
Bot 9999,9,76,6,NFT investor | crypto tips,0,1,1
Bot 9999,10,125,4,Click link below 💰,0,1,1
Click Here Now,19,114,0,Real estate investor | DM for passive income secrets,0,0,1
Profit King,18,8,5,follow for follow back,0,1,1
Person 1928,3,28,7,FREE BTC airdrop → link in bio,0,0,1
Mike Brown,509,136,975,Data scientist | ML researcher,0,1,0
Crypto Bob,1,193,3,NFT investor | crypto tips,0,1,1
Lisa White,940,50,952,Freelance illustrator | art prints available,0,1,0
John Smith,977,100,703,fitness coach 💪 DM for plans,0,1,0
Taylor Swift,0,118320811,1969,Hollywood actor | Upcoming: Summer Blockbuster 2025,1,1,0
Click Here Now,7,144,7,NFT investor | crypto tips,0,0,1
Earn Fast,7,49,1,Click link below 💰,0,0,1
David Clark,1558,143,712,Dog lover 🐾 | Hiking | Books,0,1,0
David Clark,458,85,68,Dance teacher | choreographer,0,1,0
Account 293,10,189,1,,0,1,1
Ahmed Hassan,396,50,567,Developer | Open source enthusiast,0,1,0
Ahmed Hassan,1970,50,876,Fashion designer | PR welcome,0,1,0
Yuki Tanaka,1857,50,969,Musician. Coffee addict. ☕,0,1,0
Priya Sharma,449,65,441,Gaming streamer | Twitch partner 🎮,0,1,0
Sarah Jones,63,73,824,fitness coach 💪 DM for plans,0,1,0
Ariana Grande,0,63438186,567,Grammy-winning artist 🎵 | New album out now,1,1,0
Account 293,26,53,6,NFT investor | crypto tips,0,0,1
Lisa White,675,82,84,photographer | travel 📷,0,1,0
Real Human 001,4,62,1,btc eth airdrop free coins,0,1,1
Chris Martin,378,55,723,Retired engineer | amateur astronomer 🔭,0,1,0
Maria Garcia,1181,60,66,fitness coach 💪 DM for plans,0,1,0
Earn Fast,8,12,6,crypto signals ✅ 99% win rate,0,0,1
Ahmed Hassan,1463,149,625,Freelance illustrator | art prints available,0,1,0
Sarah Jones,1962,50,474,Dance teacher | choreographer,0,1,0
Maria Garcia,1235,50,392,Retired engineer | amateur astronomer 🔭,0,1,0
Chris Martin,851,72,698,fitness coach 💪 DM for plans,0,1,0
Click Here Now,8,133,6,btc eth airdrop free coins,0,1,1
Bot 9999,11,112,7,,0,1,1
The Rock,0,83449553,1219,World #1 tennis player 🎾 | Foundation: @AidFundation,1,1,0
Real Human 001,1,91,3,FREE BTC airdrop → link in bio,0,0,1
Ahmed Hassan,682,239,527,News journalist @NYT,0,1,0
Lisa White,1774,50,341,News journalist @NYT,0,1,0
Mike Brown,439,50,652,Medical student | future doctor 🩺,0,1,0
Lisa White,924,50,271,Chef | Recipe creator 🍳,0,1,0
Real Human 001,18,172,5,Click link below 💰,0,1,1
Free Follower,3,2,3,🔞 link in bio,0,0,1
Yuki Tanaka,52,175,752,Medical student | future doctor 🩺,0,1,0
Kim Kardashian,0,70057992,1377,World-renowned chef 👨‍🍳 | Author of 3 cookbooks,1,1,0
Bot 9999,6,173,6,,0,1,1
John Smith,1353,50,21,Medical student | future doctor 🩺,0,1,0
Mike Brown,1449,174,50,mom of 3 | foodie 🍕,0,1,0
Taylor Swift,0,14633329,803,CEO @Fortune500 | Author | Speaker,1,1,0
Investment Guru,26,125,1,📈 passive income daily,0,1,1
Profit King,4,185,1,FREE BTC airdrop → link in bio,0,0,1
Ariana Grande,0,152230344,2761,Professional athlete | Team captain | Brand ambassador,1,1,0
Priya Sharma,284,218,342,Teacher & lifelong learner 📚,0,1,0
Money Maker,6,126,1,FREE BTC airdrop → link in bio,0,1,1
Mike Brown,1255,958,311,Developer | Open source enthusiast,1,1,0
Investment Guru,4,96,7,,0,1,1
Chris Martin,1895,193,195,High school teacher | making STEM fun,0,1,0
Earn Fast,26,157,0,follow for follow back,0,1,1
User 8374,29,153,4,📈 passive income daily,0,0,1
Person 1928,1,172,0,Click link below 💰,0,0,1
Sarah Jones,894,54,318,Chef | Recipe creator 🍳,0,1,0
David Clark,1428,550,61,High school teacher | making STEM fun,0,1,0
The Rock,0,78433074,2014,CEO @Fortune500 | Author | Speaker,1,1,0
Yuki Tanaka,1822,516,192,Freelance illustrator | art prints available,0,1,0
John Smith,880,50,762,Dog lover 🐾 | Hiking | Books,0,1,0
Real Human 001,26,74,3,NFT investor | crypto tips,0,1,1
Earn Fast,20,40,7,btc eth airdrop free coins,0,0,1
Profit King,6,164,4,investment advisor DM me,0,1,1
Earn Fast,15,7,2,,0,0,1
Crypto Bob,0,129,1,,0,0,1
David Clark,1428,50,329,Developer | Open source enthusiast,0,1,0
Click Here Now,15,8,0,♻️ repost to win $1000,0,0,1
Lisa White,336,318,505,Architect | sustainable design,0,1,0
Crypto Bob,1,90,2,NFT investor | crypto tips,0,1,1
Chris Martin,609,50,960,Environmental activist 🌱,0,1,0
Kim Kardashian,0,133603560,3048,Official account. For business: manager@agency.com,1,1,0
Free Follower,15,105,7,,0,0,1
Free Follower,7,118,5,Click link below 💰,0,0,1
Maria Garcia,1217,80,316,Medical student | future doctor 🩺,0,1,0
John Smith,1330,50,624,Dance teacher | choreographer,0,1,0
